Dataset,Max_Rules,Coverage_Threshold,Min_Improvement,Target_Metric,Accuracy,N_Rules,N_Conditions,N_Unique_Conditions,Train_Time
appendicitis,5,0.01,0.01,purity,0.7727272727272727,5,0.2,1,0.017043113708496094
appendicitis,10,0.01,0.01,purity,0.7727272727272727,10,0.2,2,0.06872200965881348
appendicitis,15,0.01,0.01,purity,0.7727272727272727,15,0.2,3,0.14504599571228027
appendicitis,20,0.01,0.01,purity,0.7727272727272727,20,0.2,4,0.24955439567565918
appendicitis,30,0.01,0.01,purity,0.7727272727272727,30,0.2,6,0.5591182708740234
appendicitis,15,0.0,0.01,purity,0.7727272727272727,15,0.2,3,0.14128947257995605
appendicitis,15,0.03,0.01,purity,0.7727272727272727,15,0.2,3,0.14161252975463867
appendicitis,15,0.05,0.01,purity,0.7727272727272727,15,0.26666666666666666,4,0.15752601623535156
appendicitis,15,0.1,0.01,purity,0.7727272727272727,15,0.3333333333333333,5,0.17275142669677734
appendicitis,15,0.01,0.0,purity,0.7727272727272727,15,0.2,3,0.13985872268676758
appendicitis,15,0.01,0.005,purity,0.7727272727272727,15,0.2,3,0.14091944694519043
appendicitis,15,0.01,0.02,purity,0.7727272727272727,15,0.2,3,0.14082789421081543
appendicitis,15,0.01,0.05,purity,0.7727272727272727,15,0.2,3,0.14043498039245605
appendicitis,20,0.03,0.01,purity,0.7727272727272727,20,0.25,5,0.2725393772125244
appendicitis,10,0.05,0.005,purity,0.7727272727272727,10,0.2,2,0.06334257125854492
appendicitis,25,0.01,0.005,purity,0.7727272727272727,25,0.2,5,0.39824819564819336
appendicitis,5,0.01,0.01,purity,0.8095238095238095,5,0.2,1,0.015506982803344727
appendicitis,10,0.01,0.01,purity,0.8095238095238095,10,0.2,2,0.06293582916259766
appendicitis,15,0.01,0.01,purity,0.8095238095238095,15,0.2,3,0.14148902893066406
appendicitis,20,0.01,0.01,purity,0.8095238095238095,20,0.2,4,0.2499990463256836
appendicitis,30,0.01,0.01,purity,0.8095238095238095,30,0.16666666666666666,5,0.5306777954101562
appendicitis,15,0.0,0.01,purity,0.8095238095238095,15,0.2,3,0.140533447265625
appendicitis,15,0.03,0.01,purity,0.8095238095238095,15,0.2,3,0.14175868034362793
appendicitis,15,0.05,0.01,purity,0.8095238095238095,15,0.2,3,0.14339375495910645
appendicitis,15,0.1,0.01,purity,0.8095238095238095,15,0.3333333333333333,5,0.19262242317199707
appendicitis,15,0.01,0.0,purity,0.8095238095238095,15,0.2,3,0.15516328811645508
appendicitis,15,0.01,0.005,purity,0.8095238095238095,15,0.2,3,0.15488266944885254
appendicitis,15,0.01,0.02,purity,0.8095238095238095,15,0.2,3,0.15536189079284668
appendicitis,15,0.01,0.05,purity,0.8095238095238095,15,0.2,3,0.13904571533203125
appendicitis,20,0.03,0.01,purity,0.8095238095238095,20,0.25,5,0.2693965435028076
appendicitis,10,0.05,0.005,purity,0.8095238095238095,10,0.2,2,0.0625922679901123
appendicitis,25,0.01,0.005,purity,0.8095238095238095,25,0.2,5,0.38736891746520996
appendicitis,5,0.01,0.01,purity,0.8095238095238095,5,0.2,1,0.017358064651489258
appendicitis,10,0.01,0.01,purity,0.8095238095238095,10,0.2,2,0.06200742721557617
appendicitis,15,0.01,0.01,purity,0.8095238095238095,15,0.2,3,0.13913631439208984
appendicitis,20,0.01,0.01,purity,0.8095238095238095,20,0.2,4,0.24448418617248535
appendicitis,30,0.01,0.01,purity,0.8095238095238095,30,0.16666666666666666,5,0.5260486602783203
appendicitis,15,0.0,0.01,purity,0.8095238095238095,15,0.2,3,0.13773798942565918
appendicitis,15,0.03,0.01,purity,0.8095238095238095,15,0.2,3,0.14024090766906738
appendicitis,15,0.05,0.01,purity,0.8095238095238095,15,0.2,3,0.1403331756591797
appendicitis,15,0.1,0.01,purity,0.8095238095238095,15,0.3333333333333333,5,0.16924095153808594
appendicitis,15,0.01,0.0,purity,0.8095238095238095,15,0.2,3,0.13769102096557617
appendicitis,15,0.01,0.005,purity,0.8095238095238095,15,0.2,3,0.13918614387512207
appendicitis,15,0.01,0.02,purity,0.8095238095238095,15,0.2,3,0.13845109939575195
appendicitis,15,0.01,0.05,purity,0.8095238095238095,15,0.2,3,0.1397266387939453
appendicitis,20,0.03,0.01,purity,0.8095238095238095,20,0.2,4,0.27419519424438477
appendicitis,10,0.05,0.005,purity,0.8095238095238095,10,0.2,2,0.06190371513366699
appendicitis,25,0.01,0.005,purity,0.8095238095238095,25,0.16,4,0.35614013671875
appendicitis,5,0.01,0.01,purity,0.8095238095238095,5,0.2,1,0.017728090286254883
appendicitis,10,0.01,0.01,purity,0.8095238095238095,10,0.2,2,0.0710601806640625
appendicitis,15,0.01,0.01,purity,0.8095238095238095,15,0.2,3,0.15673375129699707
appendicitis,20,0.01,0.01,purity,0.8095238095238095,20,0.25,5,0.26937127113342285
appendicitis,30,0.01,0.01,purity,0.8095238095238095,30,0.2,6,0.5480759143829346
appendicitis,15,0.0,0.01,purity,0.8095238095238095,15,0.2,3,0.1400742530822754
appendicitis,15,0.03,0.01,purity,0.8095238095238095,15,0.26666666666666666,4,0.15461230278015137
appendicitis,15,0.05,0.01,purity,0.8095238095238095,15,0.3333333333333333,5,0.1718592643737793
appendicitis,15,0.1,0.01,purity,0.8095238095238095,15,0.3333333333333333,5,0.17203927040100098
appendicitis,15,0.01,0.0,purity,0.8095238095238095,15,0.2,3,0.1399545669555664
appendicitis,15,0.01,0.005,purity,0.8095238095238095,15,0.2,3,0.1406850814819336
appendicitis,15,0.01,0.02,purity,0.8095238095238095,15,0.2,3,0.14079999923706055
appendicitis,15,0.01,0.05,purity,0.8095238095238095,15,0.2,3,0.14722371101379395
appendicitis,20,0.03,0.01,purity,0.8095238095238095,20,0.25,5,0.269855260848999
appendicitis,10,0.05,0.005,purity,0.8095238095238095,10,0.3,3,0.08211588859558105
appendicitis,25,0.01,0.005,purity,0.8095238095238095,25,0.2,5,0.421276330947876
appendicitis,5,0.01,0.01,purity,0.8095238095238095,5,0.2,1,0.015412092208862305
appendicitis,10,0.01,0.01,purity,0.8095238095238095,10,0.2,2,0.06364583969116211
appendicitis,15,0.01,0.01,purity,0.8095238095238095,15,0.2,3,0.14425444602966309
appendicitis,20,0.01,0.01,purity,0.8095238095238095,20,0.2,4,0.25522279739379883
appendicitis,30,0.01,0.01,purity,0.8095238095238095,30,0.16666666666666666,5,0.536827564239502
appendicitis,15,0.0,0.01,purity,0.8095238095238095,15,0.2,3,0.14196443557739258
appendicitis,15,0.03,0.01,purity,0.8095238095238095,15,0.2,3,0.142686128616333
appendicitis,15,0.05,0.01,purity,0.8095238095238095,15,0.26666666666666666,4,0.16098713874816895
appendicitis,15,0.1,0.01,purity,0.8095238095238095,15,0.3333333333333333,5,0.17355108261108398
appendicitis,15,0.01,0.0,purity,0.8095238095238095,15,0.2,3,0.14275646209716797
appendicitis,15,0.01,0.005,purity,0.8095238095238095,15,0.2,3,0.15860795974731445
appendicitis,15,0.01,0.02,purity,0.8095238095238095,15,0.2,3,0.15510106086730957
appendicitis,15,0.01,0.05,purity,0.8095238095238095,15,0.2,3,0.1605687141418457
appendicitis,20,0.03,0.01,purity,0.8095238095238095,20,0.2,4,0.2969486713409424
appendicitis,10,0.05,0.005,purity,0.8095238095238095,10,0.2,2,0.07256960868835449
appendicitis,25,0.01,0.005,purity,0.8095238095238095,25,0.2,5,0.43669843673706055
australian,5,0.01,0.01,purity,0.8768115942028986,5,0.6,3,0.08995318412780762
australian,10,0.01,0.01,purity,0.8768115942028986,10,0.4,4,0.28578829765319824
australian,15,0.01,0.01,purity,0.8768115942028986,15,0.3333333333333333,5,0.5871772766113281
australian,20,0.01,0.01,purity,0.8768115942028986,20,0.25,5,0.9294414520263672
australian,30,0.01,0.01,purity,0.8768115942028986,30,0.16666666666666666,5,1.8404152393341064
australian,15,0.0,0.01,purity,0.8768115942028986,15,0.2,3,0.47730278968811035
australian,15,0.03,0.01,purity,0.8768115942028986,15,0.26666666666666666,4,0.5383808612823486
australian,15,0.05,0.01,purity,0.8768115942028986,15,0.26666666666666666,4,0.5361299514770508
australian,15,0.1,0.01,purity,0.8768115942028986,15,0.26666666666666666,4,0.5405728816986084
australian,15,0.01,0.0,purity,0.8768115942028986,15,0.3333333333333333,5,0.5927925109863281
australian,15,0.01,0.005,purity,0.8768115942028986,15,0.3333333333333333,5,0.5917665958404541
australian,15,0.01,0.02,purity,0.8768115942028986,15,0.3333333333333333,5,0.5921847820281982
australian,15,0.01,0.05,purity,0.8768115942028986,15,0.3333333333333333,5,0.5930759906768799
australian,20,0.03,0.01,purity,0.8768115942028986,20,0.2,4,0.8662092685699463
australian,10,0.05,0.005,purity,0.8768115942028986,10,0.3,3,0.2491624355316162
australian,25,0.01,0.005,purity,0.8768115942028986,25,0.2,5,1.3519253730773926
australian,5,0.01,0.01,purity,0.8188405797101449,5,0.6,3,0.09876513481140137
australian,10,0.01,0.01,purity,0.8260869565217391,10,0.4,4,0.30863332748413086
australian,15,0.01,0.01,purity,0.8260869565217391,15,0.26666666666666666,4,0.5449581146240234
australian,20,0.01,0.01,purity,0.8260869565217391,20,0.2,4,0.8672785758972168
australian,30,0.01,0.01,purity,0.8260869565217391,30,0.13333333333333333,4,1.7798593044281006
australian,15,0.0,0.01,purity,0.8188405797101449,15,0.2,3,0.48680853843688965
australian,15,0.03,0.01,purity,0.8260869565217391,15,0.26666666666666666,4,0.5432455539703369
australian,15,0.05,0.01,purity,0.8260869565217391,15,0.26666666666666666,4,0.5386927127838135
australian,15,0.1,0.01,purity,0.8188405797101449,15,0.26666666666666666,4,0.5578794479370117
australian,15,0.01,0.0,purity,0.8260869565217391,15,0.26666666666666666,4,0.5432829856872559
australian,15,0.01,0.005,purity,0.8260869565217391,15,0.26666666666666666,4,0.5435018539428711
australian,15,0.01,0.02,purity,0.8260869565217391,15,0.26666666666666666,4,0.5721418857574463
australian,15,0.01,0.05,purity,0.8260869565217391,15,0.26666666666666666,4,0.5369274616241455
australian,20,0.03,0.01,purity,0.8260869565217391,20,0.2,4,0.8685793876647949
australian,10,0.05,0.005,purity,0.8260869565217391,10,0.4,4,0.287351131439209
australian,25,0.01,0.005,purity,0.8260869565217391,25,0.16,4,1.296370267868042
australian,5,0.01,0.01,purity,0.7608695652173914,5,0.6,3,0.09128308296203613
australian,10,0.01,0.01,purity,0.7536231884057971,10,0.3,3,0.25330662727355957
australian,15,0.01,0.01,purity,0.7391304347826086,15,0.2,3,0.5021858215332031
australian,20,0.01,0.01,purity,0.7391304347826086,20,0.15,3,0.8127110004425049
australian,30,0.01,0.01,purity,0.7391304347826086,30,0.1,3,1.7125492095947266
australian,15,0.0,0.01,purity,0.7463768115942029,15,0.2,3,0.472383975982666
australian,15,0.03,0.01,purity,0.7608695652173914,15,0.13333333333333333,2,0.4434239864349365
australian,15,0.05,0.01,purity,0.7608695652173914,15,0.13333333333333333,2,0.43677616119384766
australian,15,0.1,0.01,purity,0.8695652173913043,15,0.26666666666666666,4,0.5610063076019287
australian,15,0.01,0.0,purity,0.7391304347826086,15,0.2,3,0.4909794330596924
australian,15,0.01,0.005,purity,0.7391304347826086,15,0.2,3,0.4946415424346924
australian,15,0.01,0.02,purity,0.7391304347826086,15,0.2,3,0.5260365009307861
australian,15,0.01,0.05,purity,0.7391304347826086,15,0.2,3,0.5048444271087646
australian,20,0.03,0.01,purity,0.7608695652173914,20,0.1,2,0.7970433235168457
australian,10,0.05,0.005,purity,0.7608695652173914,10,0.2,2,0.2158219814300537
australian,25,0.01,0.005,purity,0.7391304347826086,25,0.12,3,1.244288444519043
australian,5,0.01,0.01,purity,0.8405797101449275,5,0.6,3,0.09276437759399414
australian,10,0.01,0.01,purity,0.8405797101449275,10,0.3,3,0.259446382522583
australian,15,0.01,0.01,purity,0.8405797101449275,15,0.2,3,0.48193836212158203
australian,20,0.01,0.01,purity,0.8405797101449275,20,0.15,3,0.8036680221557617
australian,30,0.01,0.01,purity,0.8405797101449275,30,0.1,3,1.6752238273620605
australian,15,0.0,0.01,purity,0.8405797101449275,15,0.2,3,0.48232078552246094
australian,15,0.03,0.01,purity,0.8623188405797102,15,0.26666666666666666,4,0.5468230247497559
australian,15,0.05,0.01,purity,0.8623188405797102,15,0.26666666666666666,4,0.5690670013427734
australian,15,0.1,0.01,purity,0.8405797101449275,15,0.26666666666666666,4,0.5362772941589355
australian,15,0.01,0.0,purity,0.8405797101449275,15,0.2,3,0.4755861759185791
australian,15,0.01,0.005,purity,0.8405797101449275,15,0.2,3,0.47689366340637207
australian,15,0.01,0.02,purity,0.8405797101449275,15,0.2,3,0.4822056293487549
australian,15,0.01,0.05,purity,0.8405797101449275,15,0.2,3,0.4839510917663574
australian,20,0.03,0.01,purity,0.8623188405797102,20,0.2,4,0.8754584789276123
australian,10,0.05,0.005,purity,0.8623188405797102,10,0.4,4,0.2889289855957031
australian,25,0.01,0.005,purity,0.8405797101449275,25,0.12,3,1.2225885391235352
australian,5,0.01,0.01,purity,0.8695652173913043,5,0.4,2,0.0683906078338623
australian,10,0.01,0.01,purity,0.8695652173913043,10,0.3,3,0.24602246284484863
australian,15,0.01,0.01,purity,0.8695652173913043,15,0.2,3,0.48023343086242676
australian,20,0.01,0.01,purity,0.8695652173913043,20,0.15,3,0.7873461246490479
australian,30,0.01,0.01,purity,0.8695652173913043,30,0.1,3,1.637939453125
australian,15,0.0,0.01,purity,0.8695652173913043,15,0.2,3,0.4776632785797119
australian,15,0.03,0.01,purity,0.8695652173913043,15,0.2,3,0.5017151832580566
australian,15,0.05,0.01,purity,0.8695652173913043,15,0.2,3,0.4801061153411865
australian,15,0.1,0.01,purity,0.8623188405797102,15,0.26666666666666666,4,0.5480260848999023
australian,15,0.01,0.0,purity,0.8695652173913043,15,0.2,3,0.48796987533569336
australian,15,0.01,0.005,purity,0.8695652173913043,15,0.2,3,0.4851536750793457
australian,15,0.01,0.02,purity,0.8695652173913043,15,0.2,3,0.48059940338134766
australian,15,0.01,0.05,purity,0.8695652173913043,15,0.2,3,0.479081392288208
australian,20,0.03,0.01,purity,0.8695652173913043,20,0.15,3,0.7913265228271484
australian,10,0.05,0.005,purity,0.8695652173913043,10,0.3,3,0.24618005752563477
australian,25,0.01,0.005,purity,0.8695652173913043,25,0.12,3,1.181225061416626
dermatology,5,0.01,0.01,purity,0.5138888888888888,5,0.2,1,0.11727786064147949
dermatology,10,0.01,0.01,purity,0.6111111111111112,10,0.1,1,0.4072117805480957
dermatology,15,0.01,0.01,purity,0.6666666666666666,15,0.06666666666666667,1,0.885500431060791
dermatology,20,0.01,0.01,purity,0.6666666666666666,20,0.05,1,1.54679274559021
dermatology,30,0.01,0.01,purity,0.6666666666666666,30,0.06666666666666667,2,3.629033088684082
dermatology,15,0.0,0.01,purity,0.6666666666666666,15,0.06666666666666667,1,0.9047796726226807
dermatology,15,0.03,0.01,purity,0.6666666666666666,15,0.06666666666666667,1,0.87919020652771
dermatology,15,0.05,0.01,purity,0.6666666666666666,15,0.06666666666666667,1,0.878819465637207
dermatology,15,0.1,0.01,purity,0.6111111111111112,15,0.06666666666666667,1,0.894838809967041
dermatology,15,0.01,0.0,purity,0.6666666666666666,15,0.06666666666666667,1,0.8977904319763184
dermatology,15,0.01,0.005,purity,0.6666666666666666,15,0.06666666666666667,1,0.8794958591461182
dermatology,15,0.01,0.02,purity,0.6666666666666666,15,0.06666666666666667,1,0.8917608261108398
dermatology,15,0.01,0.05,purity,0.6666666666666666,15,0.06666666666666667,1,0.8801932334899902
dermatology,20,0.03,0.01,purity,0.6666666666666666,20,0.05,1,1.556396722793579
dermatology,10,0.05,0.005,purity,0.6111111111111112,10,0.1,1,0.40592336654663086
dermatology,25,0.01,0.005,purity,0.6666666666666666,25,0.08,2,2.5698401927948
dermatology,5,0.01,0.01,purity,0.5,5,0.2,1,0.11652684211730957
dermatology,10,0.01,0.01,purity,0.5555555555555556,10,0.1,1,0.40691304206848145
dermatology,15,0.01,0.01,purity,0.6805555555555556,15,0.06666666666666667,1,0.8810989856719971
dermatology,20,0.01,0.01,purity,0.6805555555555556,20,0.05,1,1.5643320083618164
dermatology,30,0.01,0.01,purity,0.6805555555555556,30,0.06666666666666667,2,3.664469003677368
dermatology,15,0.0,0.01,purity,0.6805555555555556,15,0.06666666666666667,1,0.9049897193908691
dermatology,15,0.03,0.01,purity,0.6805555555555556,15,0.06666666666666667,1,0.8876821994781494
dermatology,15,0.05,0.01,purity,0.6805555555555556,15,0.06666666666666667,1,0.8962724208831787
dermatology,15,0.1,0.01,purity,0.625,15,0.06666666666666667,1,0.882084846496582
dermatology,15,0.01,0.0,purity,0.6805555555555556,15,0.06666666666666667,1,0.8854568004608154
dermatology,15,0.01,0.005,purity,0.6805555555555556,15,0.06666666666666667,1,0.8865993022918701
dermatology,15,0.01,0.02,purity,0.6805555555555556,15,0.06666666666666667,1,0.880516529083252
dermatology,15,0.01,0.05,purity,0.6805555555555556,15,0.06666666666666667,1,0.8745443820953369
dermatology,20,0.03,0.01,purity,0.6805555555555556,20,0.05,1,1.5327978134155273
dermatology,10,0.05,0.005,purity,0.5555555555555556,10,0.1,1,0.40608716011047363
dermatology,25,0.01,0.005,purity,0.6805555555555556,25,0.08,2,2.5289993286132812
dermatology,5,0.01,0.01,purity,0.5,5,0.2,1,0.11505699157714844
dermatology,10,0.01,0.01,purity,0.5,10,0.1,1,0.405170202255249
dermatology,15,0.01,0.01,purity,0.6666666666666666,15,0.06666666666666667,1,0.9233717918395996
dermatology,20,0.01,0.01,purity,0.6666666666666666,20,0.1,2,1.7598505020141602
dermatology,30,0.01,0.01,purity,0.6666666666666666,30,0.1,3,3.848557949066162
dermatology,15,0.0,0.01,purity,0.6666666666666666,15,0.06666666666666667,1,0.8825798034667969
dermatology,15,0.03,0.01,purity,0.6666666666666666,15,0.06666666666666667,1,0.8892362117767334
dermatology,15,0.05,0.01,purity,0.6666666666666666,15,0.06666666666666667,1,0.8902802467346191
dermatology,15,0.1,0.01,purity,0.6111111111111112,15,0.06666666666666667,1,0.9127018451690674
dermatology,15,0.01,0.0,purity,0.6666666666666666,15,0.06666666666666667,1,0.8962602615356445
dermatology,15,0.01,0.005,purity,0.6666666666666666,15,0.06666666666666667,1,0.8803079128265381
dermatology,15,0.01,0.02,purity,0.6666666666666666,15,0.06666666666666667,1,0.8767468929290771
dermatology,15,0.01,0.05,purity,0.6666666666666666,15,0.06666666666666667,1,0.88124680519104
dermatology,20,0.03,0.01,purity,0.6666666666666666,20,0.1,2,1.6917312145233154
dermatology,10,0.05,0.005,purity,0.5,10,0.1,1,0.4079248905181885
dermatology,25,0.01,0.005,purity,0.6666666666666666,25,0.08,2,2.5922396183013916
dermatology,5,0.01,0.01,purity,0.5070422535211268,5,0.2,1,0.11701631546020508
dermatology,10,0.01,0.01,purity,0.5070422535211268,10,0.1,1,0.42418336868286133
dermatology,15,0.01,0.01,purity,0.676056338028169,15,0.06666666666666667,1,0.8882989883422852
dermatology,20,0.01,0.01,purity,0.676056338028169,20,0.05,1,1.5582716464996338
dermatology,30,0.01,0.01,purity,0.676056338028169,30,0.06666666666666667,2,3.6193811893463135
dermatology,15,0.0,0.01,purity,0.676056338028169,15,0.06666666666666667,1,0.8908298015594482
dermatology,15,0.03,0.01,purity,0.676056338028169,15,0.06666666666666667,1,0.8910062313079834
dermatology,15,0.05,0.01,purity,0.676056338028169,15,0.06666666666666667,1,0.897728681564331
dermatology,15,0.1,0.01,purity,0.6197183098591549,15,0.06666666666666667,1,0.9312756061553955
dermatology,15,0.01,0.0,purity,0.676056338028169,15,0.06666666666666667,1,0.9077575206756592
dermatology,15,0.01,0.005,purity,0.676056338028169,15,0.06666666666666667,1,0.8860180377960205
dermatology,15,0.01,0.02,purity,0.676056338028169,15,0.06666666666666667,1,0.889458417892456
dermatology,15,0.01,0.05,purity,0.676056338028169,15,0.06666666666666667,1,0.9050295352935791
dermatology,20,0.03,0.01,purity,0.676056338028169,20,0.05,1,1.5757317543029785
dermatology,10,0.05,0.005,purity,0.5070422535211268,10,0.1,1,0.41261887550354004
dermatology,25,0.01,0.005,purity,0.676056338028169,25,0.08,2,2.574277400970459
dermatology,5,0.01,0.01,purity,0.5211267605633803,5,0.2,1,0.11446070671081543
dermatology,10,0.01,0.01,purity,0.6338028169014085,10,0.1,1,0.4077620506286621
dermatology,15,0.01,0.01,purity,0.6901408450704225,15,0.06666666666666667,1,0.8958594799041748
dermatology,20,0.01,0.01,purity,0.6901408450704225,20,0.05,1,1.5669963359832764
dermatology,30,0.01,0.01,purity,0.7323943661971831,30,0.06666666666666667,2,3.673691749572754
dermatology,15,0.0,0.01,purity,0.6901408450704225,15,0.06666666666666667,1,0.884091854095459
dermatology,15,0.03,0.01,purity,0.6901408450704225,15,0.06666666666666667,1,0.9055070877075195
dermatology,15,0.05,0.01,purity,0.6901408450704225,15,0.06666666666666667,1,0.8859851360321045
dermatology,15,0.1,0.01,purity,0.6338028169014085,15,0.06666666666666667,1,0.933953046798706
dermatology,15,0.01,0.0,purity,0.6901408450704225,15,0.06666666666666667,1,0.8923320770263672
dermatology,15,0.01,0.005,purity,0.6901408450704225,15,0.06666666666666667,1,0.9201242923736572
dermatology,15,0.01,0.02,purity,0.6901408450704225,15,0.06666666666666667,1,0.9220800399780273
dermatology,15,0.01,0.05,purity,0.6901408450704225,15,0.06666666666666667,1,0.9093799591064453
dermatology,20,0.03,0.01,purity,0.6901408450704225,20,0.05,1,1.567551851272583
dermatology,10,0.05,0.005,purity,0.6338028169014085,10,0.1,1,0.41968631744384766
dermatology,25,0.01,0.005,purity,0.7323943661971831,25,0.08,2,2.622279644012451
hepatitis,5,0.01,0.01,purity,0.875,5,0.2,1,0.03605151176452637
hepatitis,10,0.01,0.01,purity,0.875,10,0.1,1,0.12784695625305176
hepatitis,15,0.01,0.01,purity,0.875,15,0.13333333333333333,2,0.30649733543395996
hepatitis,20,0.01,0.01,purity,0.875,20,0.15,3,0.5538322925567627
hepatitis,30,0.01,0.01,purity,0.875,30,0.16666666666666666,5,1.3229899406433105
hepatitis,15,0.0,0.01,purity,0.875,15,0.13333333333333333,2,0.3098890781402588
hepatitis,15,0.03,0.01,purity,0.875,15,0.13333333333333333,2,0.3035569190979004
hepatitis,15,0.05,0.01,purity,0.875,15,0.13333333333333333,2,0.30402398109436035
hepatitis,15,0.1,0.01,purity,0.875,15,0.2,3,0.3413975238800049
hepatitis,15,0.01,0.0,purity,0.875,15,0.13333333333333333,2,0.3051624298095703
hepatitis,15,0.01,0.005,purity,0.875,15,0.13333333333333333,2,0.3053269386291504
hepatitis,15,0.01,0.02,purity,0.875,15,0.13333333333333333,2,0.30951833724975586
hepatitis,15,0.01,0.05,purity,0.875,15,0.13333333333333333,2,0.30515289306640625
